"SVM_PRECISION" "SVM_RECALL" "SVM_FSCORE" "LOGITBOOST_PRECISION" "LOGITBOOST_RECALL" "LOGITBOOST_FSCORE" "BAGGING_PRECISION" "BAGGING_RECALL" "BAGGING_FSCORE" "FORESTS_PRECISION" "FORESTS_RECALL" "FORESTS_FSCORE" "GLMNET_PRECISION" "GLMNET_RECALL" "GLMNET_FSCORE" "TREE_PRECISION" "TREE_RECALL" "TREE_FSCORE" "MAXENTROPY_PRECISION" "MAXENTROPY_RECALL" "MAXENTROPY_FSCORE"
"1" 0.79 0.75 0.77 0.66 0.95 0.78 0.98 0.89 0.93 0.98 0.98 0.98 0.84 0.73 0.78 0.82 0.44 0.57 0.83 0.83 0.83
"2" 0.75 0.79 0.77 0.91 0.48 0.63 0.9 0.98 0.94 0.98 0.98 0.98 0.75 0.85 0.8 0.6 0.9 0.72 0.82 0.82 0.82
